Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bulgaria,24.3999996185303,23.7000007629395,22.8999996185303,22.1000003814697,21.5,21,20.3999996185303,19.7000007629395,19.2999992370605,18.7000007629395,18.5,19.5,21.2000007629395,22.1000003814697,23.2000007629395,23.8999996185303,24.3999996185303,25.2999992370605,26.2000007629395,25.7999992370605,26.2000007629395,,25.7999992370605,10.1000003814697,9.69999980926514,8.89999961853027,8.10000038146973,7.5
Burkina Faso,,,,,,,,,,,,,,,88.8000030517578,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,77.5,,73.6999969482422,70.1999969482422,,,39.7999992370606,,,
Cameroon,,,,,,,76.9000015258789,,,,,,,,,,,,,,,60.5999984741211,,,,,,
Canada,5.40000009536743,5.5,5.30000019073486,5.5,5.40000009536743,5.09999990463257,4.90000009536743,4.59999990463257,4.40000009536743,4.30000019073486,4.19999980926514,4.40000009536743,4.30000019073486,4.30000019073486,4.30000019073486,4.09999990463257,4,3.90000009536743,3.79999995231628,3.59999990463257,3.29999995231628,2.79999995231628,2.79999995231628,2.79999995231628,2.70000004768372,2.70000004768372,2.59999990463257,2.5
Cayman Islands,,,,,,,,,,,,1.10000002384186,,,,,,,,,,,,,,1.70000004768372,2.29999995231628,1.79999995231628
Chad,,,,,,,,,,,,,,83,,,,,,,,,,,,,,
Chile,16.2999992370605,15.5,16.2000007629395,15.8000001907349,16,20.2000007629395,20.6000003814697,20.8999996185303,20.2999992370605,19.3999996185303,,19.1000003814697,,16.6000003814697,,15.6999998092651,,14.3999996185303,,14.3999996185303,,13.6000003814697,10.6999998092651,13.6000003814697,13.3999996185303,13.1999998092651,12.8000001907349,12.3000001907349
China,,,,,,,,60,59.4000015258789,59,53.4000015258789,53.9000015258789,53.0999984741211,50.7999992370606,49.5,48.5,47.7000007629394,47.4000015258789,47,46.9000015258789,46.2999992370606,45.2000007629394,44.0999984741211,,,,,
Colombia,1.39999997615814,,,,,1.39999997615814,1.39999997615814,1.39999997615814,1.29999995231628,1.29999995231628,1.39999997615814,1.29999995231628,1.39999997615814,,1.29999995231628,1,1.20000004768372,1,1,1.10000002384186,1.10000002384186,22.2000007629395,20.3999996185303,21.1000003814697,20.2999992370605,22.3999996185303,19.3999996185303,18.3999996185303
Costa Rica,27.3999996185303,27.6000003814697,30,28.2000007629394,30,27.2999992370605,26.8999996185303,28.1000003814697,28.1000003814697,26.2000007629395,25.8999996185303,25.5,24.1000003814697,22.6000003814697,21.3999996185303,21.6000003814697,21.6000003814697,20.6000003814697,20.1000003814697,19.7000007629395,20.3999996185303,15.6000003814697,15.8999996185303,15.1000003814697,14.8000001907349,15.1999998092651,14,13.1999998092651
Croatia,,,,,,,,,,,,,,,,,19.8999996185303,17.7999992370605,16.7000007629395,16.6000003814697,14.5,15.5,15.1999998092651,16.7999992370605,16.3999996185303,17.2999992370605,14.1999998092651,13.1000003814697
Cuba,,,,,,,,,,,,24.8999996185303,25.2999992370605,25.8999996185303,25.5,25.1000003814697,25.1000003814697,25.1000003814697,21.5,27.1000003814697,27.1000003814697,21.7000007629395,21.7000007629395,21.7000007629395,21.2000007629395,20.2000007629395,20,18.7000007629395
Cyprus,19.2000007629395,18.7000007629395,18,17.5,17.1000003814697,16.3999996185303,15.8000001907349,15.5,14.8000001907349,14.3000001907349,13.5,12.3999996185303,12,11.6999998092651,11,10.6999998092651,,,,4.5,5.19999980926514,4.80000019073486,5.19999980926514,5.19999980926514,4.80000019073486,4.69999980926514,4.30000019073486,4.40000009536743
Czech Rep.,,,,,,,,,,,,,,7.80000019073486,6.90000009536743,6.59999990463257,6.19999980926514,5.80000019073486,5.5,5.19999980926514,5.19999980926514,4.80000019073486,4.80000019073486,4.5,4.30000019073486,4,3.79999995231628,3.59999990463257
